name,title,company,source
Dr. Sreedhara Panicker Somanath,Chairman,Indian Space Research Organisation,scraped_techsparks2024
Shri Amitabh Kant,G20 Sherpa,Government of India,scraped_techsparks2024
Ronnie Screwvala,"Co-founder,  & Swades Foundation",upGrad,scraped_techsparks2024
Bhavish Aggarwal,Founder,Ola,scraped_techsparks2024
Dr. Rohini Srivathsa,"CTO,  India and South Asia",Microsoft,scraped_techsparks2024
Anil Agrawal,Member,Competition Commission of India,scraped_techsparks2024
Mabel Chacko,Co-founder & COO,Open Financial Technologies,scraped_techsparks2024
Ashutosh Sharma,"Head of Growth Investments, India & Asia",Prosus Ventures,scraped_techsparks2024
Mukul Arora,Co-Managing Partner,Elevation Capital,scraped_techsparks2024
Nithin Kamath,"Founder & CEO,  & Rainmatter",Zerodha,scraped_techsparks2024
Naveen Tewari,"Founder & CEO,  Group",InMobi,scraped_techsparks2024
Rahul Chari,Founder & CTO,PhonePe,scraped_techsparks2024
Lalit Keshre,Co-founder & CEO,Groww,scraped_techsparks2024
Kunal Bahl,"Co-founder,  & Titan Capital",Snapdeal,scraped_techsparks2024
Vishal Dhupar,"Managing Director, Asia South",NVIDIA,scraped_techsparks2024
Ananth Narayanan,Founder & CEO,Mensa Brands,scraped_techsparks2024
Shashank Kumar,Managing Director and Co-founder,Razorpay,scraped_techsparks2024
Siddarth Pai,"Founding Partner, Chief Financial Officer & ESG Officer",3one4 Capital,scraped_techsparks2024
"Dr. Sreedhara Panicker SomanathChairman, Indian Space Research Organisation",Dr. Sreedhara Panicker Somanath,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Subbu IyerFounder & CEO, Giggr Technologies",Subbu Iyer,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Sharad SanghiFounder & CEO, Neysa",Sharad Sanghi,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Nithin KamathFounder & CEO, Zerodha & Rainmatter",Nithin Kamath,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Anshul KhemukaPartner, Khaitan & Co",Anshul Khemuka,,scraped_techsparks2024
"Dr. Tapan SahooExecutive Officer, Head of Digital Enterprise, Maruti Suzuki India Limited",Dr. Tapan Sahoo,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Lalit KeshreCo-founder & CEO, Groww",Lalit Keshre,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Dr. Rohini SrivathsaCTO, Microsoft India and South Asia",Dr. Rohini Srivathsa,,scraped_techsparks2024
"Srikanth IyerCo-founder & CEO, Homelane",Srikanth Iyer,,scraped_techsparks2024
"Enbasekar DCo-founder & CTO, MediBuddy",Enbasekar D,,scraped_techsparks2024
"Ranjan CrastaConsulting Editor, The Captable",Ranjan Crasta,,scraped_techsparks2024
"Tanuj ChoudhryCo-founder & COO, Homelane",Tanuj Choudhry,,scraped_techsparks2024
"Prasid BanerjeeSenior Account Director, Thought Leadership Advisory, Adfactors PR",Prasid Banerjee,,scraped_techsparks2024
"Shashi KumarFounder & CEO, Akshayakalpa Organic",Shashi Kumar,,scraped_techsparks2024
"Siddarth PaiFounding Partner, Chief Financial Officer & ESG Officer, 3one4 Capital",Siddarth Pai,,scraped_techsparks2024
"Shanti MohanCo-founder & CEO, LetsVenture & trica",Shanti Mohan,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Aditya SoniFounder & CEO, CheQ",Aditya Soni,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Rahul ChariFounder & CTO, PhonePe",Rahul Chari,,scraped_techsparks2024
"Ujjwal JainCEO, Share.Market",Ujjwal Jain,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Sonika ChandraChief Business Officer - Consumer Payments, PhonePe",Sonika Chandra,,scraped_techsparks2024
"Hemant GalaCEO, PhonePe Lending",Hemant Gala,,scraped_techsparks2024
"Vivek LochebCEO, Pincode",Vivek Locheb,,scraped_techsparks2024
"Sanjay Srikanth NekkantiCo-founder & CEO, Dhruva Space",Sanjay Srikanth Nekkanti,,scraped_techsparks2024
"Payal  GangulyManaging Editor, YourStory",Payal  Ganguly,,scraped_techsparks2024
"Ritwika ChowdhuryFounder & CEO, unScript.ai",Ritwika Chowdhury,,scraped_techsparks2024
"Lathika PaiCountry Head, Venture Capital and Private Equity Partnerships, Microsoft",Lathika Pai,,scraped_techsparks2024
"Dimple SadhwaniCo-founder, PrivateBlok",Dimple Sadhwani,,scraped_techsparks2024
"Poorvi VijayVice President, Elevation Capital",Poorvi Vijay,,scraped_techsparks2024
"Raghav GuptaFounder & CEO, Futurense Technologies",Raghav Gupta,,scraped_techsparks2024
"Shubhangi MishraSenior Anchor, YourStory",Shubhangi Mishra,,scraped_techsparks2024
"Mandeep JulkaVice President, Chiratae Ventures",Mandeep Julka,,scraped_techsparks2024
"Sandeep SinhaCo-founder & Co-CEO, OISTER",Sandeep Sinha,,scraped_techsparks2024
"Alok GoyalPartner, Stellaris Venture Partners",Alok Goyal,,scraped_techsparks2024
"Bikram MahajanPartner, Unicorn India Ventures",Bikram Mahajan,,scraped_techsparks2024
"Sandeep IndurkarCEO, Resilient Payments Private Limited A BharatPe Group Company",Sandeep Indurkar,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Madan PadakiFounder & CEO, 1Bridge",Madan Padaki,,scraped_techsparks2024
"Ujjwal JainCEO, Share.Market",Ujjwal Jain,,scraped_techsparks2024
"Ashish SinghalCo-founder & Group CEO, PeepalCo",Ashish Singhal,,scraped_techsparks2024
"Ridhi Kanoria DoongurseeCo-founder, Director, LXME",Ridhi Kanoria Doongursee,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Deepti GeorgeDeputy Executive Director & Head of Strategy, Dvara Research",Deepti George,,scraped_techsparks2024
"Achyutha SharmaDesign & User research Expert, Dvara Research",Achyutha Sharma,,scraped_techsparks2024
"Sharat ChandraFounder, EmpowerEdge Ventures",Sharat Chandra,,scraped_techsparks2024
"Sumit GuptaBuilder & Founder, CoinDCX",Sumit Gupta,,scraped_techsparks2024
"Mabel ChackoCo-founder & COO, Open Financial Technologies",Mabel Chacko,,scraped_techsparks2024
"Deena JacobCo-founder & CFO, Open Financial Technologies",Deena Jacob,,scraped_techsparks2024
"Anish AchuthanCo-founder & CEO, Open Financial Technologies",Anish Achuthan,,scraped_techsparks2024
"Payal  GangulyManaging Editor, YourStory",Payal  Ganguly,,scraped_techsparks2024
"Ajeesh AchuthanCo-founder & CTO, Open Financial Technologies",Ajeesh Achuthan,,scraped_techsparks2024
"Shivaarti BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Shivaarti Bajaj,,scraped_techsparks2024
"Varun BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Varun Bajaj,,scraped_techsparks2024
"Debolina BiswasLead - YS Life, YourStory",Debolina Biswas,,scraped_techsparks2024
"Rajiv KhaitanSenior Partner, Khaitan & Co",Rajiv Khaitan,,scraped_techsparks2024
"Kanishk SinghAssistant Editor, YourStory",Kanishk Singh,,scraped_techsparks2024
"Naveen TewariFounder & CEO, InMobi Group",Naveen Tewari,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Baskar  SubramanianCo-founder & CEO, Amagi Media Labs",Baskar  Subramanian,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Phani Kishan AddepalliCo-founder & CGO, Swiggy",Phani Kishan Addepalli,,scraped_techsparks2024
"Rohit KapoorCEO - Food Marketplace, Swiggy",Rohit Kapoor,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Ankit JhingranDirector Engineering, JCPenney India",Ankit Jhingran,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Divya KrishnamurthySenior Technical Architect, Microsoft Technology Center, India",Divya Krishnamurthy,,scraped_techsparks2024
"Souparno BagchiCOO, Balancehero India",Souparno Bagchi,,scraped_techsparks2024
"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Souparno BagchiCOO, Balancehero India",Souparno Bagchi,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Rajat PanditHead of Customer Engineering - Digital Natives, Google Cloud",Rajat Pandit,,scraped_techsparks2024
"Amit PurohitProgram Manager, iStart Rajasthan",Amit Purohit,,scraped_techsparks2024
"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,scraped_techsparks2024
"Ashish VohraHead of Startups, Databricks",Ashish Vohra,,scraped_techsparks2024
"Raj MohanFounder Director,	Sustainable Green Initiative",Raj Mohan,,scraped_techsparks2024
"Pratyush Kumar PandaSectoral expert ESG (CSR and Sustainability), Founder Basudev Panda Foundation",Pratyush Kumar Panda,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Arpit ChugChief Financial Officer, Razorpay",Arpit Chug,,scraped_techsparks2024
"Shahid ShaikhHead - Digital Natives and Unicorn Business, SAP India",Shahid Shaikh,,scraped_techsparks2024
"Vaibhav TewariCo-founder & CEO, Portea Medical",Vaibhav Tewari,,scraped_techsparks2024
"Saurabh	OdhyanCTO- Consumer,	Freshtohome",Saurabh	Odhyan,,scraped_techsparks2024
"Kaushik DasVice President & Managing Director, JCPenney India",Kaushik Das,,scraped_techsparks2024
"Rakesh RavuriCTO & Engineering leader, Publicis Sapient",Rakesh Ravuri,,scraped_techsparks2024
"Ipsita BasuDirector - Creative Content, YourStory",Ipsita Basu,,scraped_techsparks2024
"Roopa KumarFounder & Group CEO, Purple Quarter",Roopa Kumar,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Ronnie ScrewvalaCo-founder, upGrad & Swades Foundation",Ronnie Screwvala,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Pooja GulrajaniHead of Engineering, PhonePe",Pooja Gulrajani,,scraped_techsparks2024
"Sravanthi PasumarthiDirector - Consumer Payments Growth, PhonePe",Sravanthi Pasumarthi,,scraped_techsparks2024
"Priya PatankarHead of Corporate Communications, Phonepe",Priya Patankar,,scraped_techsparks2024
"Nidhi GuptaHead of Product - Payments, PhonePe",Nidhi Gupta,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Atul AgarwalRegional Vice President and Country Manager, India Okta",Atul Agarwal,,scraped_techsparks2024
"Yogesh AgarwalFounder & CEO, Locomo",Yogesh Agarwal,,scraped_techsparks2024
"Sanjay KoppikarCo-founder & Chief Product Officer, EvoluteIQ",Sanjay Koppikar,,scraped_techsparks2024
"Brajesh DeManaging Director, Blue Altair",Brajesh De,,scraped_techsparks2024
"Ipsita BasuDirector - Creative Content, YourStory",Ipsita Basu,,scraped_techsparks2024
"Ankur PalChief Data Scientist, Aplazo",Ankur Pal,,scraped_techsparks2024
"Vishal GuptaCEO, PhonePe Insurance",Vishal Gupta,,scraped_techsparks2024
"Ranjan CrastaConsulting Editor, The Captable",Ranjan Crasta,,scraped_techsparks2024
"Dr. Rohini SrivathsaCTO, Microsoft India and South Asia",Dr. Rohini Srivathsa,,scraped_techsparks2024
"Rohan KharaChief Product Officer, BharatPe",Rohan Khara,,scraped_techsparks2024
"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,scraped_techsparks2024
"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,scraped_techsparks2024
"Akshat	KansalCTO, KIWI",Akshat	Kansal,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Devang	MundhraCTO	, KredX",Devang	Mundhra,,scraped_techsparks2024
"Patanjali SomayajiCTO, AXIO",Patanjali Somayaji,,scraped_techsparks2024
"Keshav ReddyFounder, Equal",Keshav Reddy,,scraped_techsparks2024
"Ananda MatthurVP of Engineering, Urban Company",Ananda Matthur,,scraped_techsparks2024
"Sameer KhanIndia Lead Cloud Business & Alliances, AMD",Sameer Khan,,scraped_techsparks2024
"Ranjani ManiDirector and Country Head, Generative AI, Microsoft India & South Asia",Ranjani Mani,,scraped_techsparks2024
"Darshan	Datt K SDirector Engineering,	Exotel",Darshan	Datt K S,,scraped_techsparks2024
"Reiji KobayashiCEO & Director, Hakki Africa Inc",Reiji Kobayashi,,scraped_techsparks2024
"Jagjeet SinghManaging Director, Digireha",Jagjeet Singh,,scraped_techsparks2024
"Suguru KawashimaCFO & Head of Global Business, Findy",Suguru Kawashima,,scraped_techsparks2024
"Mayank VishwakarmaDirector - Customer Success and Presales, primeNumber",Mayank Vishwakarma,,scraped_techsparks2024
"Takashi SuzukiChief director general, JETRO",Takashi Suzuki,,scraped_techsparks2024
"Shri Amitabh KantG20 Sherpa, Government of India",Shri Amitabh Kant,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Vishal DhuparManaging Director, Asia South, NVIDIA",Vishal Dhupar,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Ananth NarayananFounder & CEO, Mensa Brands",Ananth Narayanan,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Shri Piyush GoyalUnion Minister of Commerce & Industry and MP, North Mumbai Lok Sabha, Government of India",Shri Piyush Goyal,,scraped_techsparks2024
"Anil AgrawalMember, Competition Commission of India",Anil Agrawal,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Shashank KumarManaging Director and Co-founder, Razorpay",Shashank Kumar,,scraped_techsparks2024
"Kavin KKManaging Partner Startup Banking, IDFC FIRST Bank",Kavin KK,,scraped_techsparks2024
"Kunal BahlCo-founder, Snapdeal & Titan Capital",Kunal Bahl,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Jagjeet SinghManaging Director, Digireha",Jagjeet Singh,,scraped_techsparks2024
"Suguru KawashimaCFO & Head of Global Business, Findy",Suguru Kawashima,,scraped_techsparks2024
"Takashi SuzukiChief director general, JETRO",Takashi Suzuki,,scraped_techsparks2024
